Timestamp,Do you agree to take part in this academic research questionnaire?,What is your age range?,What is your highest level of education?,What best describes how you mainly use a computer or phone?,Which of these have you used in the past year? (tick all that apply),How confident do you feel using online services and apps in general?,"How often do you experience slowness or problems when using online apps or services? For example: a website taking a long time to load, an app freezing, or being unable to access a file","When an online service runs slowly or goes down, how much does it affect you?","Have you ever had to wait longer than expected to access your files, emails, or apps at a busy time? For example: during a big software update, end of the work day, or a popular event",What do you usually do when an online service is slow or unavailable?,How important is it to you that the online services you use are fast and always available?,"Have you ever noticed an online service getting worse at a specific time of day or week? For example: slower in the morning, worse on Mondays, or during a big news event",Do you think online services should be able to predict when they will get busy and prepare for it in advance?,"Would you be willing to pay slightly more for a service that guaranteed it would never slow down, even during very busy periods?",How much do you trust that your online service provider manages their systems responsibly to keep things running smoothly?,"If an online service went down unexpectedly and you lost access for a few hours, what would be your most likely reaction?","Have you ever received a warning that you are running out of online storage space? For example: ""Your Google Drive is nearly full"" or ""iCloud storage is almost used up""","When a service you use is slow, what do you think is usually the cause?","How much do you think about the computing resources (servers, storage, processing power) that run the apps you use daily?",Do you think technology companies waste computing resources by over-preparing for demand that never arrives?,How important is it to you that the technology companies you rely on are using their computing resources efficiently and sustainably? For example: not running unnecessary servers that waste energy,"Would you find it useful if apps gave you an advance warning like ""This service may be slower than usual between 5pm and 7pm today""?","Overall, how satisfied are you with the reliability of the online services you use most?",Is there anything else you'd like to share about your experience with online services â€” good or bad?
2026/05/27 4:13:42 PM GMT+3,"Yes, I agree",25â€“34,Undergraduate degree,A mix of both,"Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking;Work software accessed via a browser (e.g. Salesforce, Microsoft 365)",4,A few times a month,3,"Yes, occasionally",Wait and try again later,3,"No, it seems consistent Â·",I'm not sure,Probably not,3,I'd be annoyed but would stay with the service,"Yes, and it caused me a problem",My internet connection,I think about it occasionally,"Yes, I think this is a big issue Â·",3,"Yes, very useful",3,
2026/05/27 4:14:07 PM GMT+3,"Yes, I agree",25â€“34,Postgraduate degree,A mix of both,"Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking;Work software accessed via a browser (e.g. Salesforce, Microsoft 365)",5,A few times a month,4,Once or twice,Wait and try again later,5,"Yes, I've noticed a pattern","Yes, definitely",Probably yes,2,I'd be annoyed but would stay with the service,"Yes, and it caused me a problem",Too many people using the service at once,I think about it occasionally,"Yes, I think this is a big issue Â·",3,"Yes, very useful",4,Sometimes the services are good but sometimes bad
2026/06/01 1:26:54 PM GMT+3,"Yes, I agree",25â€“34,Undergraduate degree,A mix of both,Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service,3,Rarely,3,"Yes, occasionally",Wait and try again later,3,"Maybe, but I haven't paid close attention",I'm not sure,Probably not,3,It depends on the service,I don't use online storage,Too many people using the service at once,I think about it occasionally,"No, I think they get it about right",3,Neutral,2,
2026/06/01 1:39:00 PM GMT+3,"Yes, I agree",25â€“34,Undergraduate degree,Mostly for personal use,Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking,4,Rarely,1,Once or twice,Switch to a different app or device,5,"No, it seems consistent Â·",this should already be happening,Not sure,3,I wouldn't mind much,"Yes, but I sorted it quickly",My internet connection,I think about it occasionally,"Possibly, but I understand why they'd rather be safe",3,Neutral,3,
2026/06/01 1:39:06 PM GMT+3,"Yes, I agree",25â€“34,Undergraduate degree,A mix of both,"Online banking;Work software accessed via a browser (e.g. Salesforce, Microsoft 365)",4,Rarely,3,Once or twice,Switch to a different app or device,5,"Yes, I've noticed a pattern","Probably, it sounds sensible","Yes, definitely",3,I'd be annoyed but would stay with the service,"Yes, and it caused me a problem",My internet connection,I've heard of these things but don't think about them,"No, I think they get it about right",5,"Yes, very useful",3,"There should be a controlled authority for online services, then its good"
2026/06/01 1:47:58 PM GMT+3,"Yes, I agree",35â€“44,Diploma/Certificate,A mix of both,"Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking;Work software accessed via a browser (e.g. Salesforce, Microsoft 365);None of the above",5,Rarely,3,Once or twice,Try to work offline,3,"Maybe, but I haven't paid close attention",I'm not sure,Not sure,3,It depends on the service,"Yes, but I sorted it quickly",A technical problem on the company's side,I've heard of these things but don't think about them,"Possibly, but I understand why they'd rather be safe",3,Neutral,3,Good 
2026/06/01 1:57:18 PM GMT+3,"No, I do not agree",55 and above,Secondary school,Mostly for personal use,"Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Work software accessed via a browser (e.g. Salesforce, Microsoft 365)",4,Rarely,3,Once or twice,Wait and try again later,4,"Maybe, but I haven't paid close attention","Yes, definitely","Yes, definitely",4,I'd be very frustrated and might switch to a competitor,"Yes, and it caused me a problem",Too many people using the service at once,I've heard of these things but don't think about them,"Possibly, but I understand why they'd rather be safe",4,"Yes, very useful",4,
2026/06/01 2:50:50 PM GMT+3,"Yes, I agree",18â€“24,Undergraduate degree,Mostly for personal use,"Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Work software accessed via a browser (e.g. Salesforce, Microsoft 365)",4,Rarely,5,"Yes, fairly often",Wait and try again later,4,"Maybe, but I haven't paid close attention","Yes, definitely",Not sure,3,I'd be very frustrated and might switch to a competitor,"Yes, and it caused me a problem",My device is old or slow,I think about it occasionally,"Yes, I think this is a big issue Â·",4,"Yes, very useful",4,
2026/06/01 3:03:40 PM GMT+3,"Yes, I agree",25â€“34,Postgraduate degree,A mix of both,Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service,5,A few times a month,3,"No, never",Wait and try again later,4,"Maybe, but I haven't paid close attention","Probably, it sounds sensible","No, I wouldn't pay more",3,I'd be annoyed but would stay with the service,"Yes, and it caused me a problem",Too many people using the service at once,I think about it a lot,"Possibly, but I understand why they'd rather be safe",3,"Yes, very useful",5,Good
2026/06/01 3:42:26 PM GMT+3,"Yes, I agree",25â€“34,Undergraduate degree,Mostly for personal use,Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking,5,Almost every day,5,"Yes, fairly often",Wait and try again later,5,"Yes, I've noticed a pattern","Yes, definitely","No, I wouldn't pay more",1,It depends on the service,"Yes, and it caused me a problem",Too many people using the service at once,I think about it a lot,"Yes, I think this is a big issue Â·",5,"Yes, very useful",1,
